"att1","att2","att3","att4","att5","att6","att7","att8","att9","att10","att11","att12"
1,0.008534,1.2842,0.15727,0.17147,0.15515,1.0015,0.14863,0.77469,0.24487,0.19692,1
2,0.002396,1.2752,0.013321,0.20409,0.011022,0.98506,0.16264,0.94581,0.10758,0.19727,1
2,0.007048,0.9334,0.13692,-0.041394,0.024539,0.9845,0.18117,0.58011,0.25264,0.18758,1
3,0.000373,1.1487,0.037113,0.10869,0.013079,0.75149,0.049189,0.83961,0.11007,0.059626,1
3,0.000792,1.0015,0.013812,0.001336,0.011955,0.65263,0.028559,0.89008,0.021594,0.0314,1
3,-0.031247,0.83269,-0.07682,-0.15978,0.011122,1.4858,0.040374,0.79525,-0.024094,0.043102,1
3,-0.002145,0.88246,-0.11043,-0.071756,0.014277,0.39907,0.094236,0.53871,0.21271,0.1201,1
3,0.022325,0.53457,0.073952,-0.31078,0.059745,0.85127,0.043693,0.35695,0.4962,0.043693,1
3,-1.8557,0.25397,-2.027,-2.0741,-0.14736,0.043713,0.004357,0.70609,-0.64718,0.004441,1
4,-0.087169,0.66467,-0.10064,-0.07523,-0.087649,0.33669,0.063712,0.14912,0.85462,0.096174,1
5,-0.34464,0.19114,-0.28986,-0.65156,-0.016122,1.0233,0.037042,0.15397,-0.19518,0.051588,1
5,-0.27513,0.25777,-0.59011,-0.36724,-0.015733,0.17958,0.025882,0.12754,-0.35217,0.050497,1
5,-0.82947,0.25352,-0.95311,-1.2448,0.002718,0.94733,0.023248,0.42277,-0.42372,0.023746,1
5,0.004834,0.59641,-0.20051,-0.28791,-0.043339,1.0191,0.071702,0.42546,0.20336,0.072414,1
5,-0.018401,0.41606,-0.22181,-0.59867,0.004853,0.83886,0.094459,0.42656,-0.16507,0.098661,1
5,-0.12773,0.75061,-0.24754,-0.19065,-0.008601,0.52295,0.049578,0.5738,0.054194,0.058123,1
5,-0.022466,0.39144,-0.56422,-0.76422,0.00928,1.0814,0.032158,0.49158,-0.27086,0.033155,1
6,-0.033691,0.57105,-0.05166,-0.17888,0.010344,0.93591,0.045351,0.23814,0.061854,0.087647,1
6,-1.6124,0.006456,-40.785,-26.017,-0.25647,0.6521,0.001431,0.16905,-0.96296,0.001431,1
6,-0.004072,0.63769,-0.24219,-0.31384,0.034644,0.67597,0.043295,0.55237,-0.013939,0.047548,1
6,0.012033,0.51349,-0.28355,-0.32342,0.034373,0.59106,0.079029,0.34135,-0.15537,0.13334,1
6,0.008204,1.3763,-0.01105,0.18407,0.034725,0.77876,0.056753,0.67326,0.023096,0.10876,1
6,-0.062257,1.3871,-0.053462,0.22323,-0.040948,1.4617,0.46854,0.79992,0.45281,0.47137,1
6,0.001399,0.94965,-0.004995,-0.042168,0.022975,1.0382,0.099419,0.79541,0.096368,0.10591,1
6,-0.31102,0.12999,-1.2469,-1.076,-0.062452,1.008,0.037063,0.16076,-0.20441,0.037063,1
6,0.020363,1.2148,-0.17117,0.12483,0.15021,2.777,0.286756,0.70606,0.28854,0.333621,1
6,-1.1216,0.68824,-0.9995,-0.31471,-0.14422,1.3661,0.077633,0.69475,-0.46083,0.11635,1
6,-0.035562,0.63255,-0.086896,-0.32611,0.026889,1.8047,0.1012,0.56139,0.006045,0.11076,1
6,-0.099917,0.34413,-0.12344,-0.44574,-0.021704,1.4886,0.064089,0.23388,-0.031024,0.094066,1
6,-0.10489,1.7569,-0.46192,0.17162,-0.11824,0.48571,0.41925,0.39838,1.3916,0.59629,1
6,-0.17872,1.4554,-0.27397,0.21165,-0.052976,0.69821,0.070757,0.67642,0.23154,0.11385,1
6,-0.002883,0.63283,-0.09448,-0.33913,0.011182,1.2015,0.070347,0.58449,0.015538,0.074597,1
6,-3.3847,0.50634,-3.2673,-0.54454,0.13461,2.0026,0.032437,0.55852,-0.62422,0.069061,1
