X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X94,X95,X96,X97,X98,X99,X100,X101,class
1,2702221.753,271750.3782,1264908.661,397603.3164,410549.7778,3046716.069,8122252.408,542000,211000,3643659.865,0,683266.8453,7544958.863,2791238000,1384727.255,438319.9178,1768619.579,1256097.761,6487731.197,1664190.936,2984268.049,2593010000,37123000,56465000,25642.88656,8521000,69463000,0,-872000,198228000,0,198228000,2791238000,81968000,5014845.955,103688.5276,79246.38922,568000,404317.5479,52000,37000,443654.816,18719000,0,1.09,17170000,18964000,-152942000,-97162000,906000,122968000,1546000,77412.85714,-125590000,1682149.651,1886304.022,18441.57143,1520.214286,125004.1429,0.71,10.41,37.65,19.56,19.57,14.92,0.01,18.09,-44.56,23.78,-8.91,10.38,10.38,3.38,0.66,1.006667,0.67,173.63607,5.32,5.47,5.52,7.39,26.15,68.11,189.87,175.55145,1308.09,92.9,7.1,2015.61982,213.14,1.6,0.05,131.050499,440.204621,20.58,0.7,251.287764,320.030203,0
2,75187018,0,2504272,49397992,88271790,446850412,665296814,52521015,14004380,5441607,587101,1101922,90632834,755929648,6836528,5351727,118760361,312602985,553158284,31680130,59237782,612396066,11039152,8078546,0,28068767,52912046,0,305019,100403530,43130052,143533582,755929648,117054800,86003586,657046,2246172,0,15787301,230509,56638,15961172,11290253,0,0.75,11039152,11157862,42985895,-23204084,1127121,-1733938,117711,77412.85714,18165582,51747621,69913203,18441.57143,1520.214286,125004.1429,1.65,8.07,26.53,11.8,13.64,9.65,0.15,5.55,7.77,29.26,3.89,9.1,9.1,10.6,1.25,1.006667,47.06,34.25,26.42,27.75,18.36,32.43,18.5,31.1,120.27,30,426.66,81.01,18.99,3327.7,65.05,94.063333,0.17,5.85,1293.48,20.28,0.84,333.63,965.7,0
2,140481,0,1488,4253,13661,147924,311940,0,103,35594,1132,31426,69675,381615,0,0,66876,95777,210225,0,800,211025,83977,665,0,11066,514,0,0,96222,74368,170590,381615,217568,151215,2967,-191,0,27007,542,121,27428,20494,0,0.18,83977,20494,134332,-1939,1940,-43427,0,77412.85714,88964,51517,140481,18441.57143,1520.214286,125004.1429,5.25,12.28,30.5,12.5,12.61,9.42,0.19,11.51,63.9,25.28,1.6,1.15,1.15,2.59,0.32,1.006667,144.75,108.09,220.98,174.64,175.38,6.41,4.09,-5.6,148.38,74.03,123.7,55.3,44.7,464.49,0,94.063333,0.56,2.09,358.82,5.76,1.3,133.68,227.23,0
2,144033,150,141987,57738,218704,417818,980430,135773,23881,34805,253131,37373,1539398,2519828,240595,9678,270972,237777,1161095,0,3650,1164744,1058537,638052,0,149519,-436002,0,-127624,1282481,72603,1355084,2519828,350497,249051,14877,137800,0,149747,1046,5,150789,141884,0,0.13,1058537,141884,-97767,-3961,3963,97613,0,77412.85714,-4116,127123,123006,18441.57143,1520.214286,125004.1429,6.02,11.05,28.94,4.29,43.02,40.48,0.3,18.54,-8.42,5.9,-0.09,1.21,1.21,0.33,0.01,1.006667,666,777.71,149.69,605.41,575.57,88.53,111.77,-2.59,84.44,43.48,85.95,46.22,53.78,470.62,19.13,94.063333,0.15,84.2,397.62,1.19,0.27,234.56,247.26,0
2,2287849,0,19824,311495,136872,8785581,11541622,0,1186536,3001,0,0,2416022,13957643,1.00E+05,0,986601,3095414,5232204,2769201,4273087,9505291,1349995,484322,0,1104445,1402278,0,3977,4345017,107335,4452352,13957643,1145706,672065,121308,-11819,0,161896,2919,1058,163757,119773,0,0.08,1349995,119226,1516766,-579,580,-1021049,112,77412.85714,495247,1732717,2227965,18441.57143,1520.214286,125004.1429,0.9,2.68,41.34,15.56,14.29,10.45,0.16,7.06,28.99,26.86,1.12,3.22,3.22,0.85,0.13,1.006667,-50.3,-42.41,-54.56,-57.59,-58.35,12.68,2.52,-17.17,220.59,46.72,213.49,68.1,31.9,290533.89,100.56,94.063333,0.09,4.14,3491.71,359.44,0.26,460.3,3035.54,0
2,20166,0,28279,231,30737,15051,309262,0,28480,70360,0,219,210870,520131,0,0,5627,676,96752,0,4770,101522,230965,423241,0,8999,-315204,0,-1356,346644,71966,418610,520131,28221,8427,-2048,10319,0,-4498,3209,3604,-4894,-11338,0,-0.09,230965,-11338,-31860,-150421,821,-16195,9,77412.85714,-198469,218636,20166,18441.57143,1520.214286,125004.1429,-2.27,-2.87,70.14,-56.5,-17.34,-40.18,-1.4,129.57,-32.93,0,-0.14,1.5,1.5,0.12,-0.07,1.006667,-68.44,-72.11,-108.06,62.99,20.31,-1.27,21.51,-3.37,319.64,303.01,24.25,19.52,80.48,594.95,0,94.063333,0.06,286.86,493.71,0.4,0.07,183.8,596.78,0
2,1327967,40291,1321658,163190,76453,610333,3782233,4859,27579,167143,6086,125820,3384354,7166588,115000,23440,376796,144803,1250786,932,56809,1307594,2757709,2632588,33155,4479,378667,0,0,5806598,52396,5858994,7166588,1007329,495260,-973,149062,0,247355,43460,3789,287026,219215,0,0.04,2757709,219215,-99470,-1193311,41609,2164894,152,77412.85714,872263,414651,1286914,18441.57143,1520.214286,125004.1429,4.08,5,50.83,12.73,28.49,21.76,3.94,36.77,-7.95,23.63,-0.04,2.11,2.11,0.37,0.05,1.006667,32,44.53,19.94,124.13,113.43,113.31,107.98,-58.64,302.39,221.21,22.32,18.25,81.75,3382.76,2.4,94.063333,0.19,285.33,253.36,3.33,0.23,165.98,372.71,0
2,2128161,600775,1252788,215926,828406,6275696,12216585,1142623,68418,2401985,809701,760840,7280188,19496773,4428742,393123,1311132,378612,8318177,679533,3896778,12214955,2149345,347079,3730,259774,1725685,0,52092,4537705,2744113,7281818,19496773,4217581,2829870,210192,276173,0,401683,63305,7197,457791,366426,0,0.1,2149345,309542,25518,-1880756,447931,324236,2520,77412.85714,-1528482,3629442,2100959,18441.57143,1520.214286,125004.1429,1.95,5.28,32.45,3.53,10.93,8.75,1.34,22.27,0.31,19.96,0.01,2.11,2.11,1.95,0.07,1.006667,33.78,27.24,77.22,-58.11,-56.34,17.02,12.41,18.69,146.87,62.26,167.75,62.65,37.35,334.68,121.99,94.063333,0.22,110.76,602.4,1.36,0.6,128.14,585.02,0
2,467124,1000,431508,28051,149595,1544046,2800308,0,33054,55543,15189,12096,1879297,4679605,378000,329283,696196,35937,1732092,510000,743264,2475356,819855,1495372,3176,8593,-129486,0,0,2197508,6741,2204249,4679605,708032,508085,79923,17270,0,42620,881,3485,40016,21209,0,0.03,819855,21209,-186874,-60968,67403,-628555,0,77412.85714,-876398,1095514,219115,18441.57143,1520.214286,125004.1429,0.43,0.97,28.24,4.14,5.65,3,-0.37,13.99,-10.79,47,-0.23,2.68,2.68,0.86,0.04,1.006667,29.24,135.98,153.35,224.12,961.51,145.92,298.62,50.61,161.67,60.58,112.3,52.9,47.1,4146.21,65.13,94.063333,0.14,167.84,801.01,10.21,0.32,375.17,593.68,0
2,2717238,0,44764,216594,13961,2878337,5870894,36451,225265,77657,0,87276,778842,6649735,0,0,183259,3350814,4467879,0,135347,4603226,595979,119952,0,154665,1178477,0,-3424,2045647,862,2046509,6649735,529719,425159,-14076,1925,0,-6828,1650,581,-5758,-7201,0,-0.01,595979,-6580,2101062,-3922,4065,-327003,1364,77412.85714,1771498,933338,2704836,18441.57143,1520.214286,125004.1429,-0.13,-0.35,19.74,-0.93,-1.09,-1.36,0.2,18.49,47.03,0,3.53,3.43,3.43,0.89,-0.01,1.006667,-16.72,-54.33,-108.71,-109.08,-115.5,65.89,3.07,14.11,131.4,62.13,224.93,69.22,30.78,2635.32,0,94.063333,0.1,21.53,1715.94,6.48,0.26,120.33,1617.14,0
2,306994,258221,716335,111302,55791,493297,2119973,0,0,11296668,1493598,1086432,14808116,16928089,3932218,24115,1204702,151200,5967806,1278220,2721889,8689694,2075336,1260592,8989,881972,3729505,0,3673,7960067,278327,8238395,16928089,6522142,4730037,207663,-14263,0,759367,82093,779,840681,718660,0,0.34,2075336,719366,1592199,-1148339,804656,-720223,2794,77412.85714,-273570,574745,301173,18441.57143,1520.214286,125004.1429,4.43,8.92,27.48,11.89,12.89,11.02,1.25,11.79,26.68,14.51,0.77,3.84,3.84,3.14,0.37,1.006667,21.29,62.65,274.72,91.29,75.73,11.11,6.85,11.21,35.52,22.41,105.48,51.33,48.67,82.22,76.57,94.063333,0.4,39.37,24.35,0.54,0.81,61.18,2.54,0
2,203457,0,4834,8444,12314,1709272,1984277,0,93347,19067,0,570,187707,2171983,150000,0,165726,230843,1042086,382500,382500,1424586,201705,9966,0,218606,259798,0,0,690075,57323,747397,2171983,171840,140313,3048,0,0,-36675,13608,27,-23093,-18076,0,-0.09,201705,-18076,166457,-574,575,-71385,0,77412.85714,94497,99255,193752,18441.57143,1520.214286,125004.1429,-0.83,-2.38,18.35,-20.93,-13.44,-10.52,7.9,31.64,15.97,0,0.83,3.42,3.42,0.85,-0.18,1.006667,-23.48,-55.59,-117.25,-4982.24,-3049.3,1.38,3.96,-9.42,190.41,21.17,190.61,65.59,34.41,5925.93,110.05,94.063333,0.08,7.53,3424.19,8.67,0.23,395.04,3036.68,0
2,2337841,2640067,2408691,813037,154284,2703102,11383481,279533,223495,1591438,230483,300587,3691580,15075061,4261399,1667206,2600584,1469957,11939308,40000,240306,12179615,2407945,80899,0,847908,-567166,0,-20140,2749445,146002,2895447,15075061,14617241,12551157,101509,45979,0,-264053,178921,5781,-90913,-49210,0,-0.02,2407945,-72907,-410578,305633,106682,817656,24344,77412.85714,737055,1488155,2225210,18441.57143,1520.214286,125004.1429,-0.34,-1.65,14.13,-1.74,-0.62,-0.34,1.18,14.72,-3.44,0,-0.17,1.14,1.14,6.07,-0.11,1.006667,5.58,21.18,68.83,91.05,94.27,-8.16,-17.13,-6.9,95.34,63.4,420.65,80.79,19.21,161.12,206.14,94.063333,1,93.18,60.75,7.71,4.9,60.7,93.23,0
