"att1","att2","att3","att4","att5","att6","att7","att8","att9","att10","att11","att12"
1,-0.23891,1.5872,-1.4848,0.25681,-0.15798,0.91518,0.004321,0.69416,0.11063,0.008897,1
1,0.046006,0.8941,-0.062562,-0.054847,0.17183,1.3779,0.86685,0.46307,-0.001125,0.972661,1
1,-0.91622,1.1277,-2.5896,0.062566,-1,0.47826,0.023548,0.55249,0.3152,0.032468,1
1,-0.009905,0.60262,-0.3875,-0.49967,0.10199,4.5314,0.021958,0.75773,-0.20749,0.022035,1
1,0.18669,3.152347,-7.250397,-1.396248,0.057146,0.32471,0.86685,0.532019,0.76256,0.972661,1
1,0.43391,0.73404,-0.5182,-0.023946,-0.003831,0.048851,0,0.066092,0.11777,0,1
1,-0.00046,3.152347,0.60051,-1.396248,-0.026626,0,0.17438,0.532019,11.932,0.17438,1
1,0.091028,1.9942,0.3291,0.42572,0.20501,2.022,0.019087,0.85393,0.6921,0.02552,1
1,-0.10586,1.8779,0.27387,0.30057,-0.1244,2.9479,0.86685,0.64294,0.40371,0.972661,1
1,0.016865,3.152347,0.1932,-1.396248,0.10159,0.1455,0.026445,0.532019,0.25837,0.039929,1
1,-0.3678,1.4119,0.24438,0.098865,-0.42023,2.1645,0.546,0.33891,0.82074,0.546,1
1,-0.33545,1.1214,-1.4565,0.069824,-0.40967,1.4629,0,0.64502,0.51367,0,1
1,0.10723,2.4211,0.22393,0.29762,0.15344,0.7757,0.06758,0.50705,0.75248,0.17653,1
1,0.012516,3.152347,0.027477,-1.396248,0.087084,0.51635,0.009194,0.532019,0.092622,0.028301,1
1,0.016314,3.152347,-0.058426,-1.396248,0.084604,0.2153,0.019285,0.532019,0.38887,0.039279,1
1,-0.041664,1.1134,-0.016088,0.088364,0.061928,3.5181,0.0051,0.86782,0.073536,0.006066,1
1,0.021688,1.6214,-0.15901,0.25243,0.10145,1.3477,0.001396,0.65868,0.17175,0.00239,1
1,0.12312,2.3243,0.40858,0.48888,0.25012,1.9303,0.041113,0.85803,1.4312,0.045144,1
1,-0.26712,1.3017,0.030173,0.13871,-0.40398,0.76005,0.049615,0.59846,0.19641,0.090202,1
1,0.043662,3.152347,-0.23817,-1.396248,0.001828,0.050404,0.86685,0.532019,0.5804,0.972661,1
1,0.04816,1.9792,0.2541,0.28328,0.12371,1.1506,0.018801,0.57259,0.69836,0.036649,1
1,0.044758,2.6251,0.21462,0.56236,0.070149,0.62842,0.014637,0.9084,0.69098,0.023346,1
1,-0.12681,1.3905,0.18488,0.11865,-0.075152,1.3764,0.023389,0.4225,0.41986,0.05205,1
1,-0.04997,1.7228,-1.1395,0.37686,0.002677,1.2974,0.01503,0.89827,0.68437,0.017114,1
1,-0.57283,1.5246,-0.17305,0.25252,-0.48215,1.4441,0.034974,0.73385,-0.068439,0.077706,1
1,-0.14127,1.1732,-0.26571,0.049009,-0.049222,1.6603,0.001615,0.33198,-0.052876,0.006024,1
1,0.093325,38.031,0.61359,0.84898,-0.024616,0,28.375,0.87191,28.319,28.375,1
1,-0.041794,0.65518,-2.6104,-0.43579,-0.094471,1.7984,0.007326,0.82804,-0.64819,0.015846,1
1,0.3355,1.2067,0.34312,0.077387,0.084106,2.0008,0.06649,0.45172,0.96851,0.073437,1
1,0.42375,5.0643,0.49872,0.42755,0,0,0.056315,0.53274,1.8476,0.18558,1
1,0.33171,2.9176,0.45096,0.41456,0.057795,0.24958,0.061749,0.63075,1.2781,0.12008,1
1,0.040174,3.152347,-0.029678,-1.396248,0.056098,0.091567,0.079044,0.532019,4.079,0.38739,1
1,0.011976,3.152347,-0.35928,-1.396248,0.06487,0.12974,0.028302,0.532019,1.2466,0.375,1
1,0.011042,2.4746,0.15131,0.35789,0.074617,1.4582,0.046189,0.60061,0.34436,0.12982,1
1,0.26339,35.02,0.89754,0.97144,0.022795,0.022795,0,1,34.02,0,1
1,0.048879,1.1379,0.047652,0.010336,0.10109,0.24177,0.032565,0.085319,1.8597,0.15187,1
1,0.014401,3.152347,0.009186,-1.396248,0.072963,0.25573,0.000929,0.532019,0.2941,0.006155,1
1,-0.7955,0.5788,-0.41692,-0.41795,-0.25677,3.486,0.003861,0.57433,-0.14205,0.004041,1
1,-2.1415,0.3222,-3.3425,-1.6748,-1.6133,5.1786,0.018939,0.79612,-0.60903,0.019605,1
1,-0.15861,3.152347,-0.058024,-1.396248,-0.080858,0.86719,0.001992,0.532019,0.009851,0.003182,1
1,-0.50076,0.39206,-0.43335,-0.53523,-0.4369,2.516,0.13026,0.34516,0.1078,0.13356,1
1,0.045435,3.152347,-0.56545,-1.396248,0.1481,0.2214,0.86685,0.532019,1.7593,0.972661,1
2,-0.07453,2.5896,-0.034491,0.2588,-0.05837,0.69633,0.011514,0.42161,1.3869,0.02963,1
2,0.080056,1.783,0.37409,0.13611,0.068462,1.0654,0.86685,0.30995,0.86606,0.972661,1
2,0.094035,1.9392,0.48871,0.45555,0.060564,0.55076,0.00191,0.94057,1.0394,0.001931,1
2,-0.067699,2.4641,-0.12607,0.3907,0.05313,1.6786,0.86685,0.65757,0.083623,0.972661,1
2,0.10905,40.335,0.80512,0.91069,0.13538,2.803,0.255,0.93384,16.277,0.255,1
2,-0.34199,0.34522,-0.6536,-0.66899,-0.22559,2.8348,0.052971,0.35272,-0.32878,0.073936,1
2,-0.21735,0.59621,-0.4021,-0.1582,-0.2173,0.86358,0.00349,0.23359,-0.25674,0.010957,1
2,-1.136858,291.2,-7.250397,0.99657,-1.017833,1.364361,0.86685,1,0.099906,0.972661,1
2,-0.40118,1.0167,-0.15486,0.015135,-0.39307,3.7394,0.080548,0.92257,0.058264,0.083877,1
2,-0.018984,0.089779,0.018984,-0.16906,0.005644,0.1842,0.017683,0.016675,1.3768,0.040055,1
